date,Tp,pH,Cl,Cl_2,Redox,Leit,Trueb,Fm,Fm_2
2016-08-03,6.527906976744186,8.339288645690834,0.16571819425444598,0.11101367989056087,747.9233926128591,209.86456908344732,0.014129958960328318,1475.6361149110808,754.625170998632
2016-08-04,6.548333333333334,8.355083333333333,0.16569444444444445,0.10926458333333335,749.2597222222222,209.16805555555555,0.014996527777777777,1662.4180555555556,886.0236111111111
2016-08-05,6.575555555555555,8.3565625,0.16504166666666667,0.10844097222222222,749.5486111111111,211.31875,0.014952777777777778,1446.057638888889,858.4895833333334
2016-08-06,6.620902777777778,8.366944444444444,0.16593750000000002,0.108325,749.4597222222222,212.65694444444443,0.01676666666666667,1366.6944444444443,786.4590277777778
2016-08-07,6.7150694444444445,8.355291666666666,0.1655,0.10958472222222222,750.4520833333333,212.76597222222222,0.017385416666666667,1460.4416666666666,775.7604166666666
2016-08-08,6.780208333333333,8.354125,0.1632986111111111,0.10905833333333334,750.7493055555556,211.15972222222223,0.015736805555555556,1646.6,831.9104166666667
2016-08-09,6.725138888888889,8.350347222222222,0.1663888888888889,0.11040902777777778,751.5541666666667,211.19375,0.01984097222222222,1686.65625,910.4208333333333
2016-08-10,6.742152777777778,8.367097222222222,0.16504166666666667,0.10806388888888889,751.4388888888889,210.73472222222222,0.023061805555555558,1560.41875,985.7243055555556
2016-08-11,6.698958333333334,8.3625,0.16565972222222222,0.10717152777777778,751.2076388888889,212.4125,0.021121527777777777,1619.9833333333333,924.9493055555556
2016-08-12,6.744166666666667,8.350854166666666,0.16604861111111113,0.10880277777777778,751.5694444444445,211.9625,0.02109375,1420.5430555555556,909.7826388888889
2016-08-13,6.874930555555555,8.343284722222222,0.16685416666666666,0.11111597222222222,751.8166666666667,211.09791666666666,0.020085416666666665,1490.2597222222223,878.9236111111111
2016-08-14,6.885208333333334,8.324303290008457,0.1664861111111111,0.11211597222222222,751.7214084586365,210.85972222222222,0.021687377448335335,1433.088888888889,956.3819444444445
2016-08-15,6.945277777777778,8.337174152902419,0.1655902777777778,0.11120347222222222,751.6386979782629,210.75694444444446,0.02199591502844765,1613.9520833333333,894.7472222222223
2016-08-16,6.965416666666667,8.34532553756836,0.16419444444444445,0.11011041666666667,751.5610296341893,209.41666666666666,0.021538842199542715,1595.4145833333334,988.7888888888889
2016-08-17,6.96875,8.322423611111113,0.16425,0.10862916666666665,752.2527777777777,210.80625,0.02293888888888889,1661.21875,921.0131944444445
2016-08-18,7.0126388888888895,8.327368055555555,0.16336805555555556,0.11022430555555557,753.3395833333333,209.06527777777777,0.023522222222222222,1630.2826388888889,1029.786111111111
2016-08-19,7.079375,8.335006944444444,0.16243749999999998,0.10779861111111111,752.4868055555555,210.60902777777778,0.023422222222222223,1589.870138888889,976.5527777777778
2016-08-20,7.1402777777777775,8.335041666666665,0.1648402777777778,0.10907777777777777,753.0236111111111,210.5951388888889,0.023988888888888886,1463.6881944444444,981.43125
2016-08-21,7.130416666666666,8.332506944444445,0.1660763888888889,0.1091048611111111,752.4069444444444,211.70138888888889,0.024747916666666668,1497.74375,846.7145833333333
